date,close,volume,open,high,low
2019/09/04,209.19,19216820,208.39,209.48,207.32
2019/09/03,205.7,20059570,206.43,206.98,204.22
2019/08/30,208.74,21162560,210.16,210.45,207.2
2019/08/29,209.01,21007650,208.5,209.32,206.655
2019/08/28,205.53,15957630,204.1,205.72,203.32
2019/08/27,204.16,25897340,207.86,208.55,203.53
2019/08/26,206.49,26066130,205.86,207.19,205.0573
2019/08/23,202.64,46882840,209.43,212.051,201
2019/08/22,212.46,22267820,213.19,214.435,210.75
2019/08/21,212.64,21564750,212.99,213.65,211.6032
2019/08/20,210.36,26919530,210.88,213.35,210.32
2019/08/19,210.35,24431920,210.62,212.7307,210.025
2019/08/16,206.5,28813620,204.28,207.16,203.84
2019/08/15,201.74,27883360,203.46,205.14,199.67
2019/08/14,202.75,36547440,203.16,206.44,202.5869
2019/08/13,208.97,47539790,201.02,212.14,200.83
2019/08/12,200.48,22481890,199.62,202.0516,199.15
2019/08/09,200.99,24619750,201.3,202.76,199.29
2019/08/08,203.43,27009520,200.2,203.53,199.39
2019/08/07,199.04,33364400,195.41,199.56,193.82
2019/08/06,197,35824790,196.31,198.067,194.04
2019/08/05,193.34,52392970,197.99,198.649,192.58
2019/08/02,204.02,40862120,205.53,206.43,201.63
2019/08/01,208.43,54017920,213.9,218.03,206.7435
2019/07/31,213.04,69281360,216.42,221.37,211.3
2019/07/30,208.78,33935720,208.76,210.16,207.31
2019/07/29,209.68,21673390,208.46,210.64,208.44
2019/07/26,207.74,17618870,207.48,209.73,207.14
2019/07/25,207.02,13909560,208.89,209.24,206.73
2019/07/24,208.67,14991570,207.67,209.15,207.17
2019/07/23,208.84,18355210,208.46,208.91,207.29
2019/07/22,207.22,22277930,203.65,207.23,203.61
2019/07/19,202.59,20929310,205.79,206.5,202.36
2019/07/18,205.66,18582160,204,205.88,203.7
2019/07/17,203.35,14107450,204.05,205.0915,203.27
2019/07/16,204.5,16866820,204.59,206.11,203.5
2019/07/15,205.21,16947420,204.09,205.87,204
2019/07/12,203.3,17595210,202.45,204,202.2
2019/07/11,201.75,20191840,203.31,204.39,201.71
2019/07/10,203.23,17897140,201.85,203.73,201.56
2019/07/09,201.24,20578020,199.2,201.51,198.81
2019/07/08,200.02,25338630,200.81,201.4,198.41
2019/07/05,204.23,17265520,203.35,205.08,202.9
2019/07/03,204.41,11362050,203.28,204.44,202.6901
2019/07/02,202.73,16935220,201.41,203.1323,201.36
2019/07/01,201.55,27316740,203.17,204.49,200.65
2019/06/28,197.92,31110640,198.68,199.495,197.05
2019/06/27,199.74,20899720,200.29,201.57,199.57
2019/06/26,199.8,26067510,197.77,200.99,197.35
2019/06/25,195.57,21070330,198.43,199.26,195.29
2019/06/24,198.58,18220420,198.54,200.16,198.17
2019/06/21,198.78,47800590,198.8,200.85,198.15
2019/06/20,199.46,21513990,200.37,200.61,198.03
2019/06/19,197.87,21124240,199.68,199.88,197.31
2019/06/18,198.45,26551000,196.05,200.29,195.21
2019/06/17,193.89,14669140,192.9,194.96,192.17
2019/06/14,192.74,18761470,191.545,193.5863,190.3
2019/06/13,194.15,21674630,194.7,196.79,193.6
2019/06/12,194.19,18253190,193.95,195.97,193.385
2019/06/11,194.81,26932880,194.86,196,193.6
2019/06/10,192.58,26220850,191.81,195.37,191.62
2019/06/07,190.15,30684390,186.51,191.92,185.77
2019/06/06,185.22,22526310,183.08,185.47,182.1489
2019/06/05,182.54,29773430,184.28,184.99,181.14
2019/06/04,179.64,30967960,175.44,179.83,174.52
2019/06/03,173.3,40396070,175.6,177.92,170.27
2019/05/31,175.07,27043580,176.23,177.99,174.99
2019/05/30,178.3,21218410,177.95,179.23,176.67
2019/05/29,177.38,28481170,176.42,179.35,176
2019/05/28,178.23,27948160,178.92,180.59,177.91
2019/05/24,178.97,23714690,180.2,182.14,178.62
2019/05/23,179.66,36529740,179.8,180.54,177.81
2019/05/22,182.78,29748560,184.66,185.71,182.55
2019/05/21,186.6,28364850,185.22,188,184.7
2019/05/20,183.09,38612290,183.52,184.349,180.2839
2019/05/17,189,32879090,186.93,190.9,186.76
2019/05/16,190.08,33031360,189.91,192.4689,188.84
